hostname,hasFingerprinting,hasSecurityAttribute,blocked
colonelcassad.livejournal.com,false,false,false
lenkino.video,false,false,false
thaiairways.com,false,true,false
greatergood.com,false,false,false
newsis.com,false,false,false
tsumino.com,true,true,false
uk.askmen.com,false,false,false
leju.com,false,true,false
glamourparis.com,false,false,false
domru.ru,false,false,false
onclickpulse.com,false,false,false
seoul.go.kr,false,false,false
vodafone.co.uk,true,false,false
uts.edu.au,false,false,false
sunhome.ru,false,false,false
fzmovies.net,false,true,false
vitkac.com,false,false,false
indiankanoon.org,false,false,false
javpop.com,false,false,false
thputr.pro,false,false,false
patefon.net,false,false,false
songtexte.com,true,true,false
audiobar.net,false,false,false
royalgames.com,false,false,false
ap.org,false,false,false
bzwbk.pl,false,false,false
bj.leju.com,false,true,false
rufilmtv.club,false,true,false
tudelft.nl,false,false,false
nch.com.au,false,false,false
haber61.net,false,false,false
gmgard.com,false,false,false
psarips.com,true,true,false
eurosportplayer.com,false,false,false
sims3pack.ru,false,false,false
airbnb.jp,true,false,false
junglescout.com,true,false,false
mdbootstrap.com,false,false,false
santander.pl,false,false,false
dmitory.com,false,false,false
oasgames.com,true,true,false
tfp.is,true,true,false
hiqq.com.cn,false,false,false
minghui.org,false,false,false
swf.ir,false,false,false
720vt.com,false,false,false
nn.ru,false,false,false
bestandfree.com,false,false,false
game-debate.com,false,false,false
streamate.com,false,false,false
ulozto.cz,false,false,false
justfly.com,true,false,false
csulb.edu,false,false,false
microsoftstore.com.cn,false,false,false
upvid.mobi,false,false,false
confirmit.com,true,false,false
keeplinks.club,false,false,false
yurticikargo.com,false,false,false
internations.org,false,false,false
superflix.net,true,false,false
couponcabin.com,false,false,true
plexop.net,false,false,false
ualexa.com,false,false,false
state.mn.us,false,false,false
join.me,true,true,false
tradeadexchange.com,false,false,false
etryi.pro,false,false,false
tanx.com,false,true,false
oliveboard.in,false,false,false
greatdexchange.com,false,false,false
bluemix.net,false,false,false
offersuperhub.com,false,false,false
ssaa.ir,false,false,false
enbank.net,false,false,false
ek.ua,false,false,false
flixbus.com,true,true,false
blacked.com,true,false,false
tamilgun.tips,false,false,false
mn.gov,false,false,false
avery.com,true,false,false
bina.az,false,false,false
viagogo.com,false,false,false
net-empregos.com,false,false,false
clubfactory.com,false,false,false
manga-zone.org,false,false,false
daily.co.jp,false,false,false
animeskai.com,true,false,false
console.bluemix.net,true,true,false
settour.com.tw,true,true,false
enbank.ir,false,false,false
ant.design,true,false,false
clipwatching.com,false,false,false
chromecj.com,false,false,false
gfpornvideos.com,false,false,false
afilmywap.club,false,false,false
animesonlinekai.com,true,false,false
openoffice.org,false,false,false
yts.gs,false,false,false
xo.gr,false,true,true
adidas.ru,true,true,true
mnregaweb4.nic.in,false,false,false
rarbgaccessed.org,false,false,true
afilmywap.live,false,false,false
wholefoodsmarket.com,false,false,false
szu.edu.cn,false,false,false
stopmusic.net,false,false,false
youtubeto.com,false,true,false
legifrance.gouv.fr,false,true,false
brasil247.com,false,false,false
c4d.cn,true,false,false
depositfiles.org,false,false,false
anaconda.com,false,false,false
titlovi.com,false,true,false
raiffeisen.ch,true,true,false
